amount,date,price,tid,type,Datestamp
0.01062437,1506879983,4268.24,22620500,0,2017-10-01 17:46:23
0.15908196,1506879976,4268.24,22620491,0,2017-10-01 17:46:16
0.06737727,1506879971,4261.03,22620486,1,2017-10-01 17:46:11
0.01506115,1506879968,4261.0,22620483,0,2017-10-01 17:46:08
0.09978333,1506879965,4260.35,22620477,1,2017-10-01 17:46:05
0.06702576,1506879959,4260.29,22620462,1,2017-10-01 17:45:59
0.00493885,1506879957,4261.0,22620448,0,2017-10-01 17:45:57
0.095,1506879954,4260.16,22620432,1,2017-10-01 17:45:54
0.06778488,1506879951,4260.15,22620402,1,2017-10-01 17:45:51
0.01296,1506879950,4257.5,22620390,1,2017-10-01 17:45:50
0.0133138,1506879949,4257.49,22620378,1,2017-10-01 17:45:49
0.50052,1506879947,4261.28,22620370,1,2017-10-01 17:45:47
0.05678985,1506879941,4261.1,22620318,1,2017-10-01 17:45:41
0.06528109,1506879936,4260.99,22620281,1,2017-10-01 17:45:36
0.00762806,1506879898,4271.93,22620060,0,2017-10-01 17:44:58
2.34e-06,1506879898,4265.0,22620059,0,2017-10-01 17:44:58
1.60345863,1506879894,4265.0,22620058,1,2017-10-01 17:44:54
0.8715,1506879894,4265.02,22620057,1,2017-10-01 17:44:54
0.00701912,1506879893,4265.23,22620056,1,2017-10-01 17:44:53
0.00702847,1506879893,4265.23,22620055,1,2017-10-01 17:44:53
0.02384402,1506879891,4271.96,22620054,0,2017-10-01 17:44:51
0.02148184,1506879844,4271.98,22620030,0,2017-10-01 17:44:04
2.17541735,1506879835,4265.23,22620027,1,2017-10-01 17:43:55
0.932,1506879835,4267.4,22620026,1,2017-10-01 17:43:55
0.8715,1506879835,4267.42,22620025,1,2017-10-01 17:43:55
0.02108265,1506879833,4267.49,22620024,1,2017-10-01 17:43:53
0.00268951,1506879817,4272.06,22620020,0,2017-10-01 17:43:37
0.03660043,1506879744,4272.99,22620004,0,2017-10-01 17:42:24
0.00672612,1506879733,4273.0,22619999,0,2017-10-01 17:42:13
0.01086679,1506879733,4273.0,22619998,0,2017-10-01 17:42:13
0.04526676,1506879731,4273.0,22619997,0,2017-10-01 17:42:11
0.00581074,1506879730,4272.01,22619996,0,2017-10-01 17:42:10
1.0,1506879728,4272.01,22619995,1,2017-10-01 17:42:08
0.00702894,1506879728,4272.04,22619994,1,2017-10-01 17:42:08
0.93716032,1506879728,4272.04,22619993,1,2017-10-01 17:42:08
0.013383,1506879723,4273.0,22619992,0,2017-10-01 17:42:03
1.97731239,1506879715,4273.0,22619990,1,2017-10-01 17:41:55
2.0,1506879710,4273.5,22619989,1,2017-10-01 17:41:50
0.00149274,1506879709,4273.99,22619988,1,2017-10-01 17:41:49
0.10349043,1506879709,4273.99,22619987,1,2017-10-01 17:41:49
0.00830135,1506879709,4274.0,22619986,1,2017-10-01 17:41:49
0.82447876,1506879709,4274.01,22619985,1,2017-10-01 17:41:49
0.03700849,1506879699,4275.85,22619981,0,2017-10-01 17:41:39
0.692102,1506879696,4275.85,22619980,0,2017-10-01 17:41:36
0.05,1506879687,4275.0,22619974,1,2017-10-01 17:41:27
4.0,1506879668,4274.29,22619961,1,2017-10-01 17:41:08
0.024035,1506879663,4275.86,22619958,0,2017-10-01 17:41:03
0.0472979,1506879645,4276.0,22619954,0,2017-10-01 17:40:45
0.00149849,1506879645,4273.99,22619953,0,2017-10-01 17:40:45
0.00268951,1506879624,4273.99,22619944,0,2017-10-01 17:40:24
0.02268761,1506879565,4273.0,22619937,1,2017-10-01 17:39:25
0.03857335,1506879563,4273.03,22619936,1,2017-10-01 17:39:23
0.06726101,1506879516,4275.99,22619922,0,2017-10-01 17:38:36
0.21695093,1506879484,4275.99,22619917,0,2017-10-01 17:38:04
0.006,1506879480,4275.99,22619915,0,2017-10-01 17:38:00
0.01,1506879462,4275.99,22619912,0,2017-10-01 17:37:42
0.00457624,1506879453,4275.99,22619909,0,2017-10-01 17:37:33
0.00610061,1506879435,4275.99,22619878,0,2017-10-01 17:37:15
0.02576075,1506879414,4273.02,22619872,1,2017-10-01 17:36:54
0.0075,1506879363,4275.99,22619865,0,2017-10-01 17:36:03
0.06908011,1506879322,4276.03,22619850,0,2017-10-01 17:35:22
0.03,1506879280,4272.04,22619835,1,2017-10-01 17:34:40
0.01190129,1506879267,4276.05,22619821,0,2017-10-01 17:34:27
2.0,1506879264,4276.05,22619820,0,2017-10-01 17:34:24
1.0,1506879262,4276.0,22619819,1,2017-10-01 17:34:22
0.006,1506879251,4275.74,22619797,0,2017-10-01 17:34:11
0.067694,1506879244,4275.74,22619795,0,2017-10-01 17:34:04
0.015,1506879233,4275.74,22619793,0,2017-10-01 17:33:53
0.04,1506879215,4275.74,22619791,0,2017-10-01 17:33:35
0.03660084,1506879204,4275.74,22619789,0,2017-10-01 17:33:24
0.027211000000000003,1506879160,4275.52,22619783,0,2017-10-01 17:32:40
0.76790861,1506879151,4274.14,22619781,0,2017-10-01 17:32:31
0.01028088,1506879150,4274.14,22619780,0,2017-10-01 17:32:30
0.14011821,1506879132,4274.14,22619774,0,2017-10-01 17:32:12
0.01353902,1506879117,4274.14,22619764,0,2017-10-01 17:31:57
0.011443700000000001,1506879096,4274.04,22619760,0,2017-10-01 17:31:36
0.01341,1506879086,4273.0,22619754,1,2017-10-01 17:31:26
0.013999999999999999,1506879083,4274.03,22619753,0,2017-10-01 17:31:23
0.0351,1506879067,4273.0,22619739,1,2017-10-01 17:31:07
0.29582934,1506879051,4274.06,22619731,0,2017-10-01 17:30:51
1.49319063,1506879017,4273.0,22619710,1,2017-10-01 17:30:17
0.02463882,1506879013,4273.0,22619708,1,2017-10-01 17:30:13
0.0139075,1506879012,4274.14,22619707,0,2017-10-01 17:30:12
0.27381912,1506879008,4274.14,22619704,0,2017-10-01 17:30:08
0.27381912,1506879004,4274.14,22619699,0,2017-10-01 17:30:04
0.56565883,1506878999,4274.14,22619689,0,2017-10-01 17:29:59
0.48217055,1506878991,4273.0,22619687,1,2017-10-01 17:29:51
0.022649700000000002,1506878991,4273.01,22619686,1,2017-10-01 17:29:51
